,file_name,best_score,pass_epoch,layer,mem_size,update_every,learn_every,learning_rate,eps_decay,double_qnet,delayer
69,qnet_Banana_scores_and_pars_test_7.p,15.96,500,"[64, 64]",20000,2,16,0.0005,0.99,False,True
63,qnet_Banana_scores_and_pars_test_64.p,15.14,400,"[128, 64]",20000,2,4,0.0005,0.99,True,True
52,qnet_Banana_scores_and_pars_test_53.p,14.86,700,"[64, 64]",5000,2,8,0.001,0.995,False,True
32,qnet_Banana_scores_and_pars_test_34.p,14.82,400,"[32, 32, 32]",20000,5,4,0.001,0.99,True,True
19,qnet_Banana_scores_and_pars_test_28.p,14.82,600,"[128, 64]",20000,1,4,0.0002,0.99,True,False
29,qnet_Banana_scores_and_pars_test_72.p,14.68,400,"[64, 64]",20000,5,4,0.0005,0.99,False,True
79,qnet_Banana_scores_and_pars_test_8.p,14.53,500,"[64, 64]",20000,1,4,0.0002,0.99,True,False
56,qnet_Banana_scores_and_pars_test_58.p,14.38,500,"[32, 32]",5000,2,4,0.001,0.99,True,True
94,qnet_Banana_scores_and_pars_test_94.p,14.33,600,"[32, 32, 32]",20000,5,2,0.0002,0.995,False,False
40,qnet_Banana_scores_and_pars_test_41.p,14.3,400,"[32, 32, 32]",20000,5,16,0.001,0.99,False,True
77,qnet_Banana_scores_and_pars_test_78.p,14.21,700,"[32, 32]",5000,5,16,0.001,0.995,True,True
70,qnet_Banana_scores_and_pars_test_70.p,14.03,700,"[64, 64]",20000,1,16,0.0005,0.995,False,False
31,qnet_Banana_scores_and_pars_test_33.p,13.87,600,"[32, 32, 32]",5000,2,4,0.0002,0.995,True,True
26,qnet_Banana_scores_and_pars_test_32.p,13.51,700,"[64, 64]",5000,2,4,0.0002,0.995,False,True
46,qnet_Banana_scores_and_pars_test_48.p,13.46,700,"[32, 32]",5000,10,2,0.0002,0.995,False,True
25,qnet_Banana_scores_and_pars_test_20.p,13.35,700,"[32, 32, 32]",5000,10,8,0.0005,0.995,False,True
